times,heights,counts,actuators,slew_state,elevation_velocity,elevation_position,iso_time,slew_num,group,wiggly
1685440829.1267097,417.46683469395725,4,0.0,True,0.0500360905391909,46.74269017806658,2023-05-30 10:00:29.127,0,1,0
1685441281.9379194,422.1632099107854,5,0.0,True,0.0498246230032985,69.38494639340902,2023-05-30 10:08:01.938,1,1,0
1685443249.340636,425.5547566696615,4,0.0,True,-0.0497868593572562,19.270248700987,2023-05-30 10:40:49.341,2,2,1
1685443572.109658,510.7159319949524,4,0.0,True,-0.0500170245763102,3.1319501977651014,2023-05-30 10:46:12.110,3,2,1
1685444907.614944,555.5688220071152,4,0.0,True,0.0502353859308233,47.58094179165388,2023-05-30 11:08:27.615,4,1,0
1685445463.3533075,760.5905884403277,6,2.0,True,0.0499427338215447,75.3705047777862,2023-05-30 11:17:43.353,5,1,0
1685571078.125414,68.09802613479694,6,5.0,True,-0.3007202547149153,86.83307014428789,2023-05-31 22:11:18.125,6,4,0
1685571083.964621,68.31044304464214,6,5.0,True,-0.1982994961833894,84.05113470143752,2023-05-31 22:11:23.965,7,4,0
1685571128.9898796,68.75721504625236,6,5.0,True,-0.3095996696078029,83.89054568464977,2023-05-31 22:12:08.990,8,4,0
1685571133.049639,70.97508765614562,6,5.0,True,-0.1476233279422411,82.03308743466275,2023-05-31 22:12:13.050,9,4,0
1685586259.2146473,149.00306908382174,6,5.0,True,0.0100588294992249,70.11183020675375,2023-06-01 02:24:19.215,10,3,0
1685593994.1242144,221.1237908257596,6,5.0,True,-0.0503316490837536,28.42419311995726,2023-06-01 04:33:14.124,11,2,1
1685603290.5161688,523.3847363574799,4,4.0,True,0.0150715731633468,60.09469588022864,2023-06-01 07:08:10.516,12,3,0
1685605007.4107285,693.8352451904916,4,4.0,True,0.014916920612037,40.04928514974402,2023-06-01 07:36:47.411,13,3,0
1685605865.4841352,702.0040458924275,5,4.0,True,0.0293585926805284,30.04930092719139,2023-06-01 07:51:05.484,14,3,1
1685612128.873922,864.6166155099658,6,5.0,True,-0.050106339624602,10.065043539359936,2023-06-01 09:35:28.874,15,2,1
1685618301.9590223,924.9144155043386,4,5.0,True,0.050047995069953,57.4619206840487,2023-06-01 11:18:21.959,16,1,0
1685480429.5311906,67.42949062667532,6,3.0,True,-0.0504638560495222,57.91920400200662,2023-05-30 21:00:29.531,17,1,0
1685481295.1696928,67.82784702260399,6,3.0,True,-0.0496278337500501,14.638578570789909,2023-05-30 21:14:55.170,18,2,1
1685511108.2093854,204.6162287308546,6,0.0,True,0.0497401137826953,63.0351961150817,2023-05-31 05:31:48.209,19,1,0
1685511497.9702408,219.0509462676234,6,0.0,True,0.0501076618294356,82.52371682215086,2023-05-31 05:38:17.970,20,3,0
1685518400.7704103,1082.7977600475856,6,2.0,True,-0.0499667731758233,18.44351042559502,2023-05-31 07:33:20.770,21,2,0
1685518844.0558114,1096.3201618389082,5,2.0,True,-0.0499896377446473,0.3107060927936655,2023-05-31 07:40:44.056,22,2,0
1685520450.680813,1167.120974215592,4,2.0,True,0.0497842611559009,41.563131123920925,2023-05-31 08:07:30.681,23,1,0
1685520726.2252762,1173.0160168063935,4,2.0,True,0.0504148210994644,51.98208075629363,2023-05-31 08:12:06.225,24,1,0
1685521312.2257328,1176.3379920317666,6,2.0,True,0.0497069019373414,73.27209314086208,2023-05-31 08:21:52.226,25,1,0
1685523473.5118494,1178.0740679605342,6,2.0,True,-0.0501143518925655,22.5406843893362,2023-05-31 08:57:53.512,26,2,0
1685523783.9446688,1184.5981820007744,5,2.0,True,-0.0499502985599408,7.017742934349718,2023-05-31 09:03:03.945,27,2,0
1685525106.0544772,1188.0242837641088,6,2.0,True,0.0496515561062211,50.75630374263759,2023-05-31 09:25:06.054,28,1,0
1685527691.6702447,1189.9980842619166,6,2.0,True,-0.0504447902283788,9.4373662313551,2023-05-31 10:08:11.670,29,2,0
1685529022.071906,1190.1624140024728,6,2.0,True,0.0503444524105679,50.39269424878884,2023-05-31 10:30:22.072,30,1,0
1685531508.3654263,1190.88150966841,6,2.0,True,-0.0497385151897917,8.323394863950567,2023-05-31 11:11:48.365,31,2,0
1685532735.7539425,1191.1632969385926,5,2.0,True,0.0499275585339834,48.7288597981751,2023-05-31 11:32:15.754,32,1,0
1685533285.0483992,1439.8481952392965,6,0.0,True,0.0497662184018124,76.19383006676422,2023-05-31 11:41:25.048,33,1,0
1685671007.0926187,177.1340054307083,6,4.0,True,-0.0501301236297135,16.30839523409494,2023-06-02 01:56:47.093,34,2,1
1685675782.2236152,132.2681250031042,5,3.0,True,0.0997473553696456,60.40163341218328,2023-06-02 03:16:22.224,35,1,0
1685680639.223083,147.90446461402607,5,3.0,True,-0.0500414803150539,16.59585336086653,2023-06-02 04:37:19.223,36,2,1
1685682899.695457,161.91848304943193,5,3.0,True,0.0499284824680906,59.85400900969616,2023-06-02 05:14:59.695,37,1,0
1685687751.9395375,163.578922287888,5,3.0,True,-0.0501783755726715,16.627044831033764,2023-06-02 06:35:51.940,38,2,1
1685690636.2424326,188.272532650736,5,3.0,True,0.0502017630676102,59.68032758444053,2023-06-02 07:23:56.242,39,1,0
1685695362.3981762,225.9862010401137,5,3.0,True,-0.0499761701638877,17.088485284235247,2023-06-02 08:42:42.398,40,2,1
1685697961.160754,227.1948926775774,5,3.0,True,0.0503349577966495,59.638366638280026,2023-06-02 09:26:01.161,41,1,0
1686876107.8206966,60.40074499387804,6,2.0,True,-0.0500168269643849,19.94440278413792,2023-06-16 00:41:47.821,42,2,1
1686876435.2038064,61.50916159059055,4,2.0,True,-0.0500085723972012,3.575129711338317,2023-06-16 00:47:15.204,43,2,1
1686879048.218805,95.50149470383802,4,2.0,True,0.0500413507198202,46.95324741959725,2023-06-16 01:30:48.219,44,1,1
1686879488.2992282,100.99397547226629,6,2.0,True,0.0499869299703047,68.95665176115689,2023-06-16 01:38:08.299,45,1,0
1686882175.3888316,106.71444570703731,6,2.0,True,-0.0498850516987318,20.41348099111566,2023-06-16 02:22:55.389,46,2,1
1686882495.649737,119.3824085612365,6,2.0,True,-0.0498871612699079,4.396152485804277,2023-06-16 02:28:15.650,47,2,1
1686883564.4663036,120.5664925425874,4,2.0,True,0.0501796151335913,45.95200998105514,2023-06-16 02:46:04.466,48,1,1
1686883940.0272434,122.16467726219156,5,2.0,True,0.0499780110476034,64.72900852087228,2023-06-16 02:52:20.027,49,1,0
1686886103.5203,133.31050595645024,6,2.0,True,-0.0498244517606553,17.733304871763796,2023-06-16 03:28:23.520,50,2,0
1686887092.871863,133.87760671220218,5,2.0,True,0.0496696870778094,60.64428072814279,2023-06-16 03:44:52.872,51,1,0
1686889226.911837,140.86167102634417,6,2.0,True,-0.0500051142192468,17.311051690174576,2023-06-16 04:20:26.912,52,2,1
1686890200.8687088,141.13932508127732,5,2.0,True,0.0499873374365777,60.293230377846136,2023-06-16 04:36:40.869,53,1,0
1686894245.9610064,144.29782195495503,6,3.0,True,-0.0499610016845368,17.079885277783376,2023-06-16 05:44:05.961,54,2,1
1686896480.4487743,152.30856041390578,6,3.0,True,0.0501286184313468,59.875907744929975,2023-06-16 06:21:20.449,55,1,0
1686903326.9019632,260.5151356986319,6,4.0,True,-0.0500615996258145,18.105913367432112,2023-06-16 08:15:26.902,56,2,1
1686905573.620327,346.5153132301262,6,4.0,True,0.0498516950645043,59.4583380173223,2023-06-16 08:52:53.620,57,1,0
1686913714.3642664,561.7911826501444,6,4.0,True,-0.0498217199534294,16.78402004993655,2023-06-16 11:08:34.364,58,2,1
1686914015.711244,496.4997741523083,4,3.0,True,-0.0500823854730581,3.3089384388405425,2023-06-16 11:13:35.711,59,2,1
